u0_atom,molecules
-1782.57,NCCCC1CN1
-1649.87,CC1C(O)CC1O
-1321.35,CC1CS(=O)(=O)N1
-1721.47,CC(=O)CC1CC1
-2047.33,CC1CCC1(C)C
-1231.29,O=CN1CCC=N1
-1917.03,CCCC1CC1N
-1781.62,CC12C=CC(C1)C2
-1563.7,C=C(OC)C1CN1
-1490.43,C1CC(C2CO2)O1
-1772.84,CCC1=NNCC1
-1847.74,CC1(C)CC1CO
-1639.23,COC1CC(O)C1
-1916.97,CC(C)(N)C1CC1
-1287.92,C=C1C=COC1
-1847.67,CC1CC1(C)CO
-1651.81,NC1C2CNCC12
-1635.94,CC1CCNC1
-1241.63,[O][N]c1ccc[nH]1
-1850.31,CC1CC(C)C1O
-1780.49,CNCC1CC1N
-1528.06,NCC1OCCO1
-956.51,OC1CC1
-1562.89,CC1(C2CN2)CO1
-1436.75,COn1cccc1
-1569.44,C1=CC2CC(C2)O1
-1589.42,OC1C=CCC=C1
-1634.58,COCC1CCO1
-1346.72,CCc1nnco1
-1227.74,O=S1(=O)C=CCN1
-1907.28,CCCC1CN1C
-1437.1,CN1CS(=O)(=O)C1
-1643.43,CC1(CO)COC1
-1416.3,N=Cn1cccc1
-1471.88,C=CCC1CN1
-1651.37,C=C1C=CC(C)=C1
-1121.33,O=CC1CC1
-1472.0,C1CN2CC1C2
-1572.1,C=CC1C(N)C1O
-1374.13,NC1=CC(=O)NC1
-1264.02,N#CC1CC=NN1
-1522.96,C1CC2CC(C1)C2
-1913.07,C1CC(C2CC2)C1
-1708.01,CN1CC1(C)CO
-1284.51,O=C1NC2CC1C2
-1465.91,O=CN1C=CCO1
-1179.66,Nc1csc(N)c1
-1781.33,CNC1(C)CC1N
-1768.31,CC(C)(C)C1CN1
-1570.77,CC1=CCC2OC12
-1466.25,C=C1CNCC1=O
-1713.57,CC(N)C1COC1
-1581.53,CNC1C(N)C1O
-1451.79,O=CC1C=CC=C1
-1437.43,NN(C=O)C1CC1
-1924.95,CC1(C)C=CCC1
-1577.68,C1=CC2COC2C1
-1376.46,OCC1=NN=CC1
-1427.98,C=C1CCCO1
-1213.4,COc1cnsc1
-1786.0,CCC1CCC1N
-1572.44,CC1=CC2OC2C1
-1638.54,C[N][CH]N1CC1C
-1494.41,NC(=O)NC1CC1
-1548.39,Cc1nscc1O
-1708.8,CCOC1CC1N
-1652.72,C1CC2(CN1)CN2
-1576.48,C=C1OCC2CC12
-1546.96,CCn1cccn1
-1422.13,CC1(O)CC1N
-1545.39,O=C1CCCC1O
-1338.4,COc1cn[nH]c1
-1293.85,N=C1NOC2CC12
-1440.02,NC1C=CC2OC12
-1709.14,CC(CO)N1CC1
-1633.93,CC1CCC(=O)N1
-1687.28,C1CC1OC1CC1
-1418.68,NCC1CCO1
-1519.72,C=CC1C=NN=C1
-1899.34,C=C(C)C1CCC1
-1314.58,C=Cc1ccno1
-1751.18,CC1CC1(C)C
-1604.06,Cc1ccc(N)[nH]1
-1317.18,CNc1ccsc1
-1467.11,CC1CN(N)C1=O
-1327.67,NN1CC=CC1=O
-1780.35,CC12CNC(C1)C2
-1393.33,C=CC1COC1=O
-1238.65,O=C1NNC2CC12
-1421.43,C#CC1CCC1=O
-1296.98,[CH2][N]N1CC(=O)C1
-1555.4,O=C1NC2CC2N1
-1314.01,O=CNCC1CN1
-1389.7,O=CC1CCC1=O
-1504.59,OC1C2CCC1O2
-1716.48,OC1C2CCCC12
-1907.37,C=Cc1ccc[nH]1
-1900.09,C=CCCC1CC1
-1519.7,Cc1ccnnc1
-1321.91,C#CC1NC1CO
-1752.81,CC1(N)CC=CC1
-1323.05,C#CC1CC1N
-1719.23,NCC1CCC1O
-1782.46,C=CCN1CC1C
-1409.76,C=C1CNCC1O
-1430.48,c1occ2c1CC2
-1564.48,OC1C2C=NNC12
-1522.11,CC1(C)OC=CO1
-1303.56,O=C1CCCN1O
-1634.23,CN1C2C=CCC21
-1427.73,NC1CCOC1=O
-1400.79,N#CC1=CC=CC1
-1589.08,CC1=COC=CC1
-1249.79,CC1=CN[C]([NH])S1
-1638.73,CN1C2CNCC21
-1050.62,N#Cc1cnsc1
-1922.25,CC1NC1C1CC1
-1712.85,CC1CC(C=O)C1
-1572.06,CC1C2C=COC12
-1428.52,N[N][CH]C1CC1O
-1747.92,C1CCC2NC2C1
-1404.67,O=C1C=CC(O)C1
-1515.32,NCC1(O)COC1
-1338.98,C#CC1CN1C=N
-1575.58,CC12CC1C=CO2
-1920.19,CC1CC=CCC1
-1721.11,CC1CC(N)C1O
-1613.99,CC1NC(=O)C1C
-2047.3,CC(C)C1CC1C
-1725.41,CCC(=O)C1CC1
-1697.39,CC=CC1COC1
-1848.73,CCC1CCC1O
-1719.19,NCC1(O)CCC1
-1076.42,O=C(O)CC1CN1
-1897.56,CC1(C2CC2)CC1
-1676.92,C#CC1CC(=O)N1
-1514.52,NCC1OCC1O
-1916.54,C1CC2CCC2C1
-1670.53,CC1CN(C)C=N1
-1846.33,CC1(CO)CCC1
-1260.07,Cc1oncc1O
-1649.46,NC1C2CNC1C2
-1243.51,OCc1ccsc1
-1654.97,CN1CCCC=N1
-1257.1,[NH][C]1CCCN1O
-1493.05,NCC1(N)CC1
-1265.81,C=C1OC=CC1=O
-1353.47,C1=NOCCOC1
-1450.73,NN=C1CCCO1
-1844.56,OCCCC1CC1
-1775.15,C#CC#CC1CN1
-1238.9,C#CC1CC(=O)O1
-1491.64,O=C1NCC2OC12
-1383.11,C1=NCCCN1
-1706.94,CNC1COC1C
-1573.16,CC1=COC2CC12
-1448.0,COC1C=NNC1
-1778.39,CN1CC1CCN
-1764.64,C#CC1CCCC1
-1617.95,CC(C)C1CN1
-1638.72,[CH]1S[N][C]2OC[C]12
-1197.01,c1snc2c1NC2
-1587.24,CC1(O)C(N)C1N
-1470.43,OC1CNCC1O
-1761.93,C1CN(C2CC2)C1
-1778.55,C#CCC1NC1C
-1616.05,[CH2][N]N(C)C1CC1
-1846.59,CC1CCC1CO
-1131.83,C1=CCON=C1
-1712.95,NCCC1CC1O
-1867.06,CC1CCC(O)C1
-1243.03,OC1C=NNCC1
-1511.66,OC12CCOC1C2
-1661.23,OCC(O)C1CN1
-1453.65,N#CCC1CCO1
-1696.92,C=C(C)C1COC1
-1307.74,O=C1NC2CC2O1
-1769.38,CC1CCCC1
-1462.41,C=CC1CNC1=O
-1297.64,[NH][CH]N1CCCO1
-1446.76,O=C[CH][N]N1CC1
-1515.95,CN1CC1CC#N
-1607.48,C#CC1CN1CC
-1528.82,NCC1COCO1
-1490.85,Oc1ccccc1
-1511.0,[CH]1C=C[C]2CCN12
-1018.01,O=C1CCN1
-1444.9,CC1=NCCON1
-1483.46,CC1CCCN1C
-1792.47,C=C1C=CCNC1
-1306.74,C=CC(=C)C1CN1
-1458.84,ON=C1CC=CC1
-1842.53,CCC1(C)COC1
-1441.33,C=C(C=O)C1CN1
-1461.18,N=C(N)C1CCO1
-1330.96,O=CC1CCNC1
-1256.69,CC1C=CC(N)C1
-1536.16,COC(=O)C1CC1
-1301.31,Cc1coc(=O)[nH]1
-1729.98,CN1CCC(O)C1
-1464.4,[NH][CH]N1C=CCO1
-1513.72,O=CCC1CCO1
-1418.45,O=CC#CC1CC1
-1709.99,CNC1CCC1O
-1254.78,Nc1cc[nH]c1
-1610.06,CC1NCCC1=O
-1330.68,Cc1nocc1N
-1253.78,OCC1C=NNC1
-1716.23,CC(CO)C1CN1
-1307.46,C#CCN1CC1
-1588.03,C=C1COC=C1C
-1418.39,C#CC1CC=CO1
-1356.65,[CH2][N]N1C(C)C1C
-1314.63,NCc1ccns1
-1224.18,[NH][C]1NC=CC1=O
-1244.3,OCc1ccns1
-861.62,c1cnoc1
-1349.1,Nc1cc[nH]c1O
-1657.73,CNc1cnsc1
-1588.78,NC1C=CCOC1
-1928.82,C=C1CCCCC1
-1791.32,CC1=CCC(C)=C1
-1284.54,OC1CC=NNC1
-1661.83,CC1(C)COCO1
-1271.54,O=C1C=CCC1=O
-1463.99,O=CC1=CC=CC1
-2048.44,CC1CC(C)(C)C1
-1758.43,C1CC1CN1CC1
-2046.73,CC(C)C1(C)CC1
-1790.14,CC(N)C1(N)CC1
-1514.86,C=C1CCC2NC12
-1794.95,CC1(N)C=CC=C1
-1220.58,CC1(C)CCC1N
-1605.88,C#CCC1CN1C
-1865.6,OCC1CCCC1
-1656.48,CC1CC(C#N)C1
-1585.2,CC1C=CC=CO1
-1654.63,CC1CC1CC#N
-988.34,O=CN1CC1
-1719.24,CC(=O)C1CCC1
-1363.69,CC1CC=NN1
-1288.1,N=C1NCCC1O
-1633.76,C1NC1CC1CN1
-1125.81,OCc1cn[nH]c1
-1458.24,CC1=CC=CC1=O
-1751.01,CC1(C)CCC1
-1551.39,CC1CC1CO
-1576.38,C=CC1CC=CO1
-1657.96,NC12CCNC1C2
-1115.58,O=Cc1ccns1
-1609.73,CNC1CCC1
-1397.5,C=CC1COC1
-1919.46,C=CC1NC1C#N
-1697.8,CN(C)C1COC1
-1375.86,ON=C1CCNC1
-1608.52,CC1CNCC1=O
-1128.5,C1=COCC1
-1506.9,NC1CCNC1
-1573.44,CC1(C)CCCN1
-1767.04,C=CC1(N)CCC1
-1385.39,O=C1OC2CC1C2
-1542.25,CCC1COC1=O
-1390.28,CC1CONC1=O
-1513.99,CC(C#N)N1CC1
-1906.64,CCCCN1CC1
-1369.09,O=Cc1cccs1
-1460.57,Cc1conc1C
-1162.03,C=C(CO)C1CN1
-1279.99,CN1CC1C=O
-1538.31,O=C1CCOCC1
-1299.08,C1=NNCC2OC12
-1585.81,CC(=O)N1CC1C
-1404.56,C1OC2CC1C2
-1426.58,C1=CCCON=C1
-1517.15,NCC1(O)CC1O
-1915.81,CCC1CCCN1
-1516.77,NN=C1CC=CC1
-1590.17,NCC1(O)CC1N
-1521.56,CC1=C(C)OCO1
-1431.8,CC1=NOCC=C1
-1836.81,CCC1(OC)CC1
-1918.51,CC(N)C1CC1C
-1558.91,OC1(C2CN2)CC1
-1647.3,NC1C2C=CCC12
-1493.75,[CH2][N][N][CH]C1CC1
-1148.36,Nc1ccsc1
-1715.96,CC1(C)OCC1N
-1372.75,NC1C2OCOC12
-1579.67,C1=CC2OC2CC1
-1243.86,C#CC1CCO1
-1774.48,CN1C2CCCC21
-1471.92,CNC1CNC1=O
-1561.68,CC1(C2CO2)CN1
-1558.4,C=C1OC2CC1C2
-1427.89,CC1CC(=O)C1
-1773.13,C=CCC1CC1N
-1734.67,CC1NCCC1O
-1577.48,O=C1C2CCC1N2
-1916.73,CC(N)CC1CC1
-1770.09,CC1(C)NC1(C)C
-1552.94,CC1(C)CCO1
-1445.46,CC1CCC(C)N1
-1424.24,C1=CCOCC1
-1449.87,CC(=O)NN1CC1
-1421.68,NC1CCC1O
-926.22,CC1CC(N)CN1
-1590.64,NC1C(N)C1CO
-1615.66,C1CC2CC1C2
-1540.48,COCC1CC1
-1542.74,C#CC(O)C1CC1
-1475.49,C=CC1CN1[CH][NH]
-1664.97,CC1(C)OCCO1
-1620.88,CC1NC1(C)C
-1322.92,CC[C]1C=N[N]O1
-1442.99,NC1C2C=COC12
-1610.53,CC1=CC(=O)CC1
-1684.48,CC1CN=CNC1
-1503.21,NC1CNC(=O)C1
-1173.81,C=CC1CN1
-1430.41,CC1=CCON=C1
-1583.67,CNC1CC1C=O
-1848.0,CC1CC(O)C1C
-1581.91,C=C1CCC=CO1
-1642.9,CC1(C)C(O)C1O
-1746.63,CC(C)C1(N)CC1
-1499.26,NC1C=CCC1
-1423.93,C1C2OC2C2CN12
-1131.38,O=C1CCC1
-1766.55,C=CC1CCC1N
-1622.36,C[C]([NH])N1CC1C
-1273.69,C=C1C=COC1=O
-1353.46,O[N][CH]C1CCC1
-1707.17,CC1CCC(N)C1
-1544.22,C=Cc1ccsn1
-1430.74,Nc1ccc(O)s1
-1791.48,C=C1C=C(C)CC1
-1622.36,CCC1CN1[CH][NH]
-1650.02,CC=C1C=CC=C1
-1409.64,COC1CC1N
-1417.75,CS(=O)(=O)C1CC1
-1710.69,CC1C2COCC12
-1512.44,CC1CNC(=O)N1
-1467.52,CC1CC(=O)N1N
-1629.46,C[C](C)[N]N1CC1
-1434.75,CON1C=NCC1
-1846.69,CCC1CC(O)C1
-1276.1,Cc1ccsc1
-1907.53,CNC1CC(C)C1
-1722.72,CC(O)C1(N)CC1
-1530.42,CC1=CC(O)CO1
-1211.2,O=CC1COC1
-1293.27,C1=NOC2CNC12
-1302.69,COC1C=NN=C1
-1412.13,O=C1CCC=CO1
-1345.59,O=CNC1CC1O
-1605.65,CC=CC1CC1
-1308.09,O=S1(=O)C=CCC1
-1396.44,C1CC1C1CO1
-1518.24,O=CC1CC1CO
-1571.36,Cc1sncc1N
-1864.23,CC1CCCCO1
-1422.25,C#CC1=CCCO1
-1718.74,CC(C)(O)C1CN1
-1715.58,CC1CC1CC=O
-1714.28,CC(N)C1CCO1
-1517.83,CC1(N)C(O)C1O
-1304.67,Cc1cc(N)cs1
-1717.71,CCC1CC1C=O
-1280.74,N#CC1=NCCN1
-1646.46,C#CC1CC=NN1
-1776.14,CC1(N)CCNC1
-1923.91,CCC1CC=CC1
-1913.35,CC(C)NC1CC1
-1418.76,CC1(N)COC1
-1567.83,C1CCOCC1
-1732.74,N#CC1CC1C=O
-1298.78,CS(=O)(=O)C1CN1
-1392.24,O=c1cccno1
-1230.14,C1=NC2CC2N1
-1352.6,C=C1C=CNC1=O
-1544.19,CC1(C)COC1=O
-1580.85,COC1=CC=CC1
-1916.81,CC1CC1CCN
-1652.24,NC1C2CCNC12
-1673.28,CC1=CN[C]([NH])C1
-1557.23,OC12C=CC(C1)C2
-1743.65,C#CC(C)C1CC1
-1680.42,CCC1(N)CCC1
-1608.5,C#CC1C(C)C1N
-1710.02,CNCC1CCO1
-1457.91,CC1=CCC(=N)N1
-1315.91,NC(=O)C1CC1
-1422.97,NCC1(O)CC1
-1848.38,CCC1(O)CCC1
-1423.05,C1=CCON=CC1
-1277.85,OCC1CN=CN1
-1553.32,CC1CC(C)O1
-1621.14,C=Cc1cn[nH]c1
-1311.6,O=C1CCNC1
-1420.32,CC1NC1CO
-2046.05,CCC1(C)CC1C
-1919.7,CCCC1NC1C
-1570.44,CC1C=CC2OC12
-1509.49,COC1=COCC1
-1180.52,N#Cc1cccs1
-1909.24,CNCCC1CC1
-1804.67,CC1=NCCCN1
-1513.64,CC1C(O)C1C=O
-1916.77,C#CC1CCCN1
-1446.52,C#CC1CC1C#C
-1552.42,CC(O)C1CC1
-1929.37,CC1=C(C)CCC1
-1581.94,C=C1CC=CC1O
-1517.5,Cc1cc(N)c[nH]1
-1511.16,COC1CCC1=O
-1774.75,C1CC2CN(C1)C2
-1636.06,OCCOC1CC1
-1717.88,CC(O)CC1CN1
-1913.2,CCNC1CC1C
-1729.11,CC1(O)C=CCC1
-2044.98,CC(C)(C)C1CC1
-1311.57,CNc1cccs1
-1717.04,CC1(CN)CC1O
-1754.39,CC1N(C)C1(C)C
-1586.37,CC=C1C=CCO1
-1219.46,NS(=O)(=O)C1CC1
-1908.14,CC(C)C1(C)CN1
-1358.95,O=CN(O)C1CC1
-1633.68,CC1C=NN=CC1
-1270.43,CC1=NOC(=O)C1
-1148.1,O=Cc1cnoc1
-2069.4,CC1CCCCC1
-1546.86,CNc1ccc[nH]1
-1613.34,CC1(C)CNC1=O
-1663.65,NC1C=CCNC1
-1735.96,CC1(O)CCNC1
-1588.6,C=C1C=COCC1
-1276.37,O=C(CO)N1CC1
-1650.42,C=C1C=CC(=C)C1
-1295.88,Cc1cs[nH]c1=O
-1673.22,CN1C=NCCC1
-1927.95,CC1C=CCCC1
-2062.4,C=C(CC)C1CN1
-1447.67,Cc1cccn1O
-1613.95,CC1C(C)N1C
-1225.47,CC1NC1C#N
-1260.78,O[N][CH]C1CC1
-1414.65,CNC1CC1O
-1495.78,C=COC1CC1O
-1253.18,CC1CCO1
-1377.12,CC1CN(O)C1=O
-1585.58,CC1=CC=CC1O
-1321.3,NC1CCC1
-1793.12,CC1(N)CCCC1
-1407.21,COCC1CN1
-1539.65,C1NC2COCC12
-1682.88,C1CC2CCC2O1
-1525.55,CC1C(=O)CC1O
-1783.16,C=C1CNCC1C
-1450.81,CC1(C#N)COC1
-1641.27,NC1CCCC1
-1902.84,C=C(C)CC1CC1
-1524.83,O=C1CC(CO)C1
-1453.58,CCC1CC1
-1237.66,C#CC1COC1=O
-1148.94,Cc1cnsc1
-1535.01,C1CC2OCC2N1
-1241.52,Nc1ccc(N)s1
-1463.66,C=C1C=CCC1=O
-1231.24,C=C1C=NOCO1
-1522.9,NC1CC1(O)CO
-1575.89,CC(C=O)N1CC1
-1362.52,C=C1CCNCC1
-1516.52,COC1CC=CO1
-1917.82,Cc1cnsc1O
-1769.89,C#CCCC1CN1
-1580.88,O=C1CC2CC1C2
-1915.48,CC1CCC2CC12
-1374.87,Cn1cc[nH]c1=O
-1531.87,CC1NC1CCN
-1424.7,O[N][CH]C1CC1O
-1791.4,CC1NCC2NC12
-1250.5,Cc1cc(=O)[nH]s1
-1430.71,C1C2CC2C2OC12
-1805.58,NC1CCCNC1
-1250.0,C#Cc1cc[nH]c1
-1762.7,C=CCC1CN1C
-1234.45,COc1ccns1
-1554.3,CC1CNC(=N)C1
-1415.14,NCC1CC(=O)O1
-1784.66,CC12CNCC1C2
-1800.9,NC1CC=CCC1
-1644.06,CC1C(O)C1CO
-1525.86,C1=CCNC=NC1
-1839.08,COC1CC(C)C1
-1762.39,C=CC1CN1CC
-1764.01,C=C(C)CN1CC1
-1485.61,CNC1CC1N
-1579.89,C1NCC2CC1O2
-1777.96,CC(N)CN1CC1
-1623.38,CCC1(N)CC1
-1264.35,Cc1cnoc1O
-1217.33,O=C1CCCNC1
-1576.36,C1=CCOCC=C1
-1924.83,CC1C=CC(C)C1
-1598.01,CN(C=O)C1CC1
-1413.17,C=C1CCOC1=O
-1250.37,C#CC1CC1O
-1783.61,CC=C1CC=CC1
-1718.15,CC1C(N)C1CO
-1408.57,CO[N][CH]N1CC1
-1359.51,C1COCCO1
-1407.22,CC=C1C=NNC1
-1281.77,N#CC1CN=CN1
-1917.04,CC1CCC1CN
-1387.27,c1ccccc1
-1567.55,NC12COC(C1)C2
-1221.77,CC1OC=CO1
-1725.39,CCC1=CCCO1
-1452.25,CC1(C#N)CCO1
-1378.45,N#CC=CC1CN1
-1652.99,C[N][CH]NC1CC1
-1798.47,NC1C=CCCC1
-1631.75,CC1=CCCC1
-1217.83,C1=NOCC2OC12
-1425.6,CC1C=COC1
-1600.29,O=CC1=CCCC1
-1656.91,NC1C=CCC=C1
-1621.35,CC1CC1CN
-1768.81,C=CC1CC(C)C1
-1468.38,CCCC1(N)CC1
-1510.34,CC1CC(C=O)O1
-1779.67,C=C1CC=CCC1
-1650.97,CC(O)C1(O)CC1
-1292.55,Cn1ccoc1=O
-1480.64,CC1(N)CNC1=O
-1721.09,CCC1C=COC1
-1770.09,NC1CC1C1CC1
-1505.25,C1=NNC2CC1C2
-1465.22,C=CC1CN1C
-1487.24,NCCC1CN1
-1468.02,OC[CH][N]N1CC1
-1318.72,Cc1ccnn1O
-1505.37,C1OCC2CC1O2
-1696.76,COCCN1CC1
-1778.55,C=CC1C=CCC1
-1584.95,CC=C1CC=CO1
-2190.06,OC1C2CNCC12
-1729.77,OC1C=CCCC1
-1427.57,NC1COC(=O)C1
-1585.49,NC12COCC1C2
-1915.77,CCC1CC1NC
-1777.55,Cc1cc[nH]c1N
-1917.0,CC1NC1C1CN1
-1596.86,O=C1CC2CC2C1
-1530.54,C1=COC2CC2C1
-1557.24,CC1CCOC1=O
-1446.62,C#Cc1nncs1
-1429.71,C1=COCCC1
-1454.59,C1=NNCCCO1
-1677.17,CCn1cccc1
-1432.23,C1COCCN1
-1444.52,CC1CCS1(=O)=O
-1411.91,OCC=CC1CN1
-1452.81,COC1=NNCC1
-1351.31,C=C1C=CC=C1
-1544.19,CC1C2C=CC1C2
-1525.05,CC1CC(=O)C1O
-1183.96,ON=C1CC=CO1
-1386.71,O=CC(=O)C1CN1
-1241.55,COc1ccsc1
-1414.02,C#CC(=O)C1CC1
-1429.92,OC1C=CCC1
-1531.32,C1=CCC2OC2C1
-1710.03,CNC1(CO)CC1
-1834.45,CCC1CC1OC
-1361.56,C1=NOCOCC1
-1527.71,CC1CC1OC=O
-1317.08,C1=CC2CC1N2
-1657.83,NC(=O)C1COC1
-1614.04,CC(C)C1CC1N
-1575.81,C=CC1CCC1=O
-1317.11,Cc1ccn(O)n1
-1428.46,CC12CC1C=NO2
-1459.71,N#CC1(O)CCC1
-1455.16,CC1CCCCN1
-1712.7,CC1CC2CC2O1
-1646.88,CC1(CO)CC1O
-1456.06,C1=CC2CC1C2
-1246.66,OCC1=NNCC1
-1441.36,C=CC(=O)C1CN1
-1762.37,CC=CC1CN1C
-1344.27,O=C1CCN2CC12
-1527.17,O=C(CO)C1CC1
-1446.57,C#Cc1ccsc1
-1227.75,[NH]C1=C[CH]NC1=O
-1640.39,NC1CN2CC1C2
-1245.87,Nc1cscc1N
-1432.64,O[N][CH]NC1CC1
-1681.51,C1CC2COC2C1
-1253.73,OCC1CC1
-1530.23,Oc1c[nH]c(O)c1
-1768.68,CC(C)=CC1CN1
-1724.97,CC1CC=COC1
-1575.41,C1=CCOC=CC1
-1787.8,Cc1sncc1O
-1482.21,O=CC1CCCN1
-1610.97,CC1=NC2CC2N1
-2190.69,O=CC(=O)N1CC1
-1850.56,CC1CC(C)(O)C1
-1606.04,C=C(C)C1CC1
-1475.9,C=CC1CC1N
-1710.76,C1CC2CC2CO1
-1282.55,O=c1cccco1
