expt,molecules
-3.04,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
-4.51,CC1=CC(=O)[C@H](C(C)C)CC1
0.08,CCCCCCI
-9.8,CC(=O)N1CCCC1
-0.59,C=CCl
-3.24,CC(=O)C(C)C
-1.66,CCCCCCO[N+](=O)[O-]
1.77,FC(F)(Cl)C(F)(Cl)Cl
-2.49,CCCC(=O)OCC
-10.22,CCNc1nc(Cl)nc(NCC)n1
-6.4,COC(CC#N)(OC)OC
0.14,C1=CCCCC1
-2.37,ClC(Cl)C(Cl)Cl
-6.55,COCCN
-2.07,CCCCCCCCC=O
-0.53,CCCI
-0.33,CCCCl
-2.01,COC(C)C
-0.63,CCCl
-2.69,Clc1ccccc1-c1ccccc1
-4.31,OCC(F)(F)F
-5.51,Cc1cnccn1
-6.25,CCCCOCCO
-9.71,CC(N)=O
-2.93,COCOC
-2.93,CCC(=O)OC
-5.48,C1CCNC1
-2.74,CC(C)C(=O)C(C)C
-5.88,Cc1c[nH]c2ccccc12
-4.24,CCCCN
-5.18,CC1=CC(=O)CC(C)(C)C1
0.01,C#CCCC
1.66,C=CCCCCC
-1.2,CS
-2.21,CC(=O)OCCC(C)C
-1.79,ClCCCl
-3.15,c1ccc2c(c1)Oc1ccccc1O2
-0.4,CCCCBr
-0.11,FC(F)(F)[C@H](Cl)Br
-10.08,CS(C)(=O)=O
-9.4,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
-3.81,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2
-2.4,COC(=O)C(C)(C)C
0.93,C=CCC=C
-3.03,CCCCC=O
-2.48,CCCOC=O
0.75,C1CC1
-4.44,C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1
-0.7,S
-1.99,ClCC(Cl)Cl
-2.11,CCCCCOC(=O)CC
-2.46,Clc1ccc(Cl)c(-c2ccccc2)c1
-4.78,CC(C)=CCC/C(C)=C\CO
-4.8,O=[N+]([O-])OCCCO[N+](=O)[O-]
-4.07,CCNCC
-4.23,O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl
-3.1,Clc1ccc2c(c1)Oc1ccccc1O2
-0.83,CCCCOCCCC
1.09,CC(C)(C)Cl
-3.52,CCCCC#N
-4.72,CCCCO
-3.68,CCC/C=C/C=O
-2.94,CCOC(C)=O
-2.34,CCCCCCCCC(C)=O
2.0,CCC
-4.09,CCCCCN
0.1,FC(F)O[C@H](Cl)C(F)(F)F
-4.74,CC(C)O
0.67,CC1=CCCCC1
-2.75,C=O
0.0,CC[C@H](C)Cl
-4.2,C[C@@H](O)C(F)(F)F
0.5,F[C@H](Br)C(F)(F)F
0.84,CC(C)(C)Br
-0.19,CC(Cl)(Cl)Cl
-2.21,COC(C)(C)C
-10.78,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
2.88,CCCC(C)(C)C
-4.4,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-5.0,CCO
-2.26,CCCCCCOC(C)=O
-7.17,C1COCCN1
-1.43,ClCC(Cl)(Cl)Cl
-4.29,N
-3.09,CCCC[N+](=O)[O-]
-2.22,CC(C)COC=O
-7.81,CN(C)C=O
-0.48,CC(C)Br
-2.28,CCCOC(=O)CCC
-6.72,COC(=O)CC#N
1.47,C=C(C)CCC
-13.43,OCC(O)CO
2.06,C=CCCCCCCC
2.52,CC[C@@H](C)C(C)C
0.29,C#CCCCC
-4.09,C=C(C)[C@@H]1CC=C(C=O)CC1
3.12,FC(F)(F)F
-0.22,CF
-2.81,CCCCCC=O
-4.0,COC(=O)CCl
-8.84,CC(=O)OCC(COC(C)=O)OC(C)=O
-9.34,CN(C)CCOC(c1ccccc1)c1ccccc1
-5.73,COCC(OC)(OC)OC
1.83,CC
-2.56,CCCCC(=O)OC
2.97,CCCC[C@@H](C)CC
2.51,CC(C)(C)C
-6.68,CCNc1nc(NC(C)(C)C)nc(SC)n1
1.01,C=CCCC=C
-3.88,CC#N
-4.7,O=C1CCCC1
0.71,C#CCCCCCC
-3.5,CC=O
-9.31,CCCCCC(N)=O
-0.78,Cl/C=C/Cl
-5.45,CCc1cnccn1
-0.77,FCCl
-6.619999999999999,COCCO
-3.43,CCCCC/C=C/C=O
-0.8,COC(OC)(OC)C(F)(F)F
-2.28,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
-16.43,Nc1cnn(-c2ccccc2)c(=O)c1Cl
-9.61,CNC(=O)Oc1cccc2c1OC(C)(C)C2
-1.31,ClCCl
1.59,CC1CCCC1
-5.73,CCCCOC[C@H](C)O
-11.53,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
-2.36,CC(=O)OCC(C)C
-1.14,CCS
3.16,CCCCCCCCCC
-9.44,Nc1cccc2c1C(=O)c1ccccc1C2=O
-4.45,CC(C)=CCC/C(C)=C/CO
-3.54,CCOCCOCC
-1.96,BrCBr
-0.99,CCCCS
-2.1,CCOC
-6.5,O=C1C=CC(=O)C=C1
-8.42,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
-4.42,CC(C)CCO
-0.14,CCCCCI
0.6,C#CCCCCC
2.56,CCC(C)(C)CC
-3.43,CCC=O
2.93,FC(F)=C(F)C(F)(F)F
-0.53,CC(C)OC(C)C
-0.25,CC(C)Cl
0.29,CCCCCCCCl
-0.84,CC(Cl)Cl
-0.57,C=CCCl
-2.04,CCCCCCCC(=O)OC
-1.23,ClC(Cl)C(Cl)(Cl)Cl
2.55,CCCCCC1CCCC1
0.52,CCCCCCCCBr
-1.95,ClCCBr
-4.87,CS(=O)(=O)Cl
1.58,C=CCCCC
-4.05,Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2
-4.5,CC(C)CO
-4.91,O=C1CCCCC1
-0.74,CCI
-9.3,OCCO
-3.65,CCCCCCCCN
-2.64,CC(=O)OC(C)C
-1.91,COC
-6.1,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
-3.71,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
-4.42,COC(C)(OC)OC
-2.88,CCCCCCC(C)=O
-2.49,CCCCC(=O)OCC
-3.47,C1CCOC1
-1.66,CCCOC
-3.11,CC(=O)C(C)(C)C
-3.92,CCCC(C)(C)O
-3.84,CCC#N
-3.41,CCC(=O)CC
-5.56,C1CNC1
-6.32,CN1CCOCC1
-4.4,CCCCCCO
-4.5,CCN
-0.16,C#CCC
-4.42,CC[C@@H](C)CO
-2.86,CC(C)C=O
-5.48,OC1CCCCCC1
-23.62,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
-1.46,CCSCC
2.48,CCCCCC
-3.05,CC(=O)CC(C)C
-0.03,CC(C)CBr
0.1,ClC(Cl)=C(Cl)Cl
-1.12,COC(F)(F)C(Cl)Cl
-7.5,CCOP(=O)(OCC)OCC
-2.49,C=C[C@@](C)(CCC=C(C)C)OC(C)=O
-4.13,CCCSC(=O)N(CCC)CCC
-1.69,CC(C)COC(=O)C(C)C
0.4,C=C(C)C(=C)C
-5.99,CC(=O)CO[N+](=O)[O-]
-6.69,CCOCCO
1.68,C/C=C/CCCC
1.31,CC=C(C)C
-0.56,CCCBr
-9.4,CCC(N)=O
-3.88,c1ccc2c(c1)ccc1ccccc12
-1.88,CC(C)CO[N+](=O)[O-]
2.3,CCCCC
-4.59,COC(CCl)(OC)OC
0.27,CCCCCCCI
-3.34,CCC[N+](=O)[O-]
2.13,CCCC1CCCC1
-3.88,CCCCCCCCCO
-2.64,CCCCC(=O)CCCC
0.18,CCCCCCBr
-1.96,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
1.32,C=CC
-3.95,CCCCCCN
2.0,C
2.56,CC(C)C(C)C(C)C
-10.0,CNC(C)=O
-2.56,CCOC=O
1.31,C/C=C\CC
-3.88,CC[C@@H](O)C(C)C
-0.25,CCCCI
-3.61,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1
-3.3,C[C@H]1CCCO1
0.06,FC(F)(F)CCl
-6.16,CCCCC(=O)O
1.79,FC(F)(F)Br
-7.43,CN(C)CCC=C1c2ccccc2CCc2ccccc21
-0.44,ClC=C(Cl)Cl
-0.89,CI
-3.44,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]([C@H](Cl)C[C@@H]3Cl)[C@@]1(Cl)C2(Cl)Cl
-2.32,ClCCCCCl
2.71,CCC[C@H](C)CC
-2.02,CC(C)OC=O
-2.13,BrC(Br)Br
-11.85,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O
2.51,CCC(C)(C)C
2.93,CCCCC(C)C
-2.23,CCCCCC(=O)OCC
-0.74,CCBr
-2.15,CCCCCCCCCC(C)=O
-3.64,CCCC#N
0.08,ClC(Cl)(Cl)Cl
-3.84,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2
-4.1,COC(=O)C1CC1
-3.64,CCCCCCCCCCO
1.2,C1CCCC1
-1.89,ClCCCCl
-1.5,CCSC
1.28,C=C
1.38,C=CCC
-4.62,CC[C@H](C)O
-0.48,C#CC
-1.1,COC(=O)C(F)(F)F
-2.09,CCCCO[N+](=O)[O-]
2.51,CCCC(C)C
-3.28,CCCCC(C)=O
-4.87,COS(C)(=O)=O
-4.21,CCCCCCCO
1.16,C=C(C)C
-12.74,COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl
0.68,C=CC(=C)C
-2.29,CCCCCCCC=O
2.83,CC(C)CC(C)C
-4.61,CC(=O)C1CC1
-5.31,CCOCCOC(C)=O
-8.7,COP(=O)(OC)OC
1.68,C=CCCC
-4.55,CN
-2.51,CCCCCOC(C)=O
-3.48,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl
0.25,C=C(Cl)Cl
-4.61,Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
1.92,C=CCCCCCC
-6.69,CC(=O)O
-2.79,CCCOC(C)=O
-2.78,COC=O
-12.64,Cn1c(=O)c2c(ncn2C)n(C)c1=O
-1.16,CCCOCCC
-1.21,CC(C)SC(C)C
-4.06,CCC[C@@H](O)CC
2.1,CCCC
-6.48,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
-0.11,CC(F)F
-2.92,C[C@H]1CC[C@H](C)O1
-5.03,C=CCO
-3.17,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl
-2.82,CCCCC[N+](=O)[O-]
2.88,CCCCCCCC
-9.3,NN
-0.55,CCl
2.93,CC(C)CCC(C)(C)C
-1.64,CCSSCC
0.56,C=CC=C
2.51,CCC(C)CC
-6.0,CCOC(=O)CC(=O)OCC
-14.21,O=C1c2ccccc2C(=O)c2c(NCCO)cccc21
-0.04,CCCCCCc1ccccc1
-7.29,COc1cccc(N)c1
-0.78,Clc1cc(Cl)cc(Cl)c1
-5.9,Nc1ccc(Cl)cc1
-1.34,Clc1ccc(Cl)c(Cl)c1Cl
-9.29,CN(C)C(=O)c1ccccc1
-6.5,Cc1ccc(O)cc1C
-7.48,COc1ccc(N)cc1
0.56,C1=CCCC1
-3.9,CC(=O)C1CCCCC1
-5.33,COC(=O)c1ccc(OC)cc1
-3.51,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
-2.38,BrCc1ccccc1
-5.33,COc1ccccc1OC
-3.93,Cc1ccccc1C=O
-6.74,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
-1.24,C=C(C)c1ccccc1
-1.21,Cc1cccc(C)c1C
-9.86,COc1c(Cl)ccc(Cl)c1C(=O)O
-9.01,O=C1[C@@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl
-6.27,Cc1cc(C)cc(O)c1
-9.52,O=Cc1cccc(O)c1
-4.71,N#Cc1c(Cl)cccc1Cl
-7.03,Oc1ccc(Cl)cc1
-5.82,Nc1cccc(Cl)c1
-3.2,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
-2.33,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
-3.45,CN(C)c1ccccc1
-6.6,Oc1ccccc1
1.58,C[C@@H]1CCCC[C@@H]1C
-6.79,OCCc1ccccc1
-5.29,Oc1ccccc1F
-3.3,COC(=O)C1CCCCC1
2.11,CC1CCC(C)CC1
-0.86,Cc1ccc(C)c(C)c1
-6.13,Cc1ccc(O)cc1
-15.83,O=c1cc(Cl)[nH]c(=O)[nH]1
-2.45,COc1ccccc1
-5.49,Cc1cccc(O)c1
-8.41,Cn1ccnc1
-0.95,CCc1ccc(C)cc1
-11.14,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl
1.23,C1CCCCC1
-6.62,OCc1ccccc1
-5.91,Cc1ccc(C)c(O)c1
-5.94,COc1ccccc1O
-0.9,Cc1cc(C)cc(C)c1
-6.79,Cc1cc(O)ccc1Cl
-4.58,O=[N+]([O-])c1ccccc1O
-7.0,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1
-9.37,CCCOC(=O)c1ccc(O)cc1
1.7,CC1CCCCC1
-9.82,Nc1ccc([N+](=O)[O-])cc1
-6.13,CCc1ccc(O)cc1
-6.5,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
-16.92,O=c1[nH]cc(F)c(=O)[nH]1
-1.38,Cc1cccs1
1.07,FC(F)(F)c1cccc(C(F)(F)F)c1
-4.7,CC(=O)c1ccc(C)cc1
-5.22,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
-10.64,O=[N+]([O-])c1ccc(O)cc1
-0.44,CC(C)(C)c1ccccc1
-1.4,c1ccsc1
-1.36,Clc1ccccc1Cl
-6.25,CCc1cccc(O)c1
-1.14,Cc1ccccc1Cl
-5.66,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
-1.39,Cc1ccc(Br)cc1
-0.53,CCCc1ccccc1
-3.82,O=COc1ccccc1
-0.68,Cc1ccc(C(C)C)cc1
-6.88,COC(=O)c1ccc([N+](=O)[O-])cc1
-6.19,Oc1ccc(F)cc1
-0.83,Cc1cccc(C)c1
-7.66,COc1cccc(O)c1
-4.55,Oc1ccccc1Cl
-8.21,CCc1cccc(CC)c1N(COC)C(=O)CCl
-2.73,CSc1ccccc1
-0.9,c1ccccc1
-1.74,Ic1ccccc1
-5.21,Cc1cccc(C)c1N
-0.9,Cc1ccccc1
-4.58,CC(=O)c1ccccc1
-6.96,COc1cccc(OC)c1O
-5.53,Cc1ccccc1N
-6.2,Oc1ccccc1I
-4.4,COc1ccc(C(C)=O)cc1
-4.1,N#Cc1ccccc1
-5.26,CCCc1ccc(O)c(OC)c1
-9.76,Cc1ccc(C(=O)N(C)C)cc1
-9.2,CCOC(=O)c1ccc(O)cc1
-6.62,Oc1cccc(Cl)c1
-5.8,COc1cc(C)ccc1O
-5.57,Cc1ccc(N)cc1
-0.85,CCc1ccccc1C
-5.91,CC(C)(C)c1ccc(O)cc1
-3.78,c1ccc2c(c1)Cc1ccccc1C2
-4.59,NC1CCCCC1
-8.84,Nc1cccc([N+](=O)[O-])c1
-2.22,CCOc1ccccc1
-2.89,Cn1cccc1
-5.9,Cc1ccccc1O
-7.07,CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl
-4.04,COC(OC)(OC)c1ccccc1
-1.24,Clc1cccc(Cl)c1Cl
-0.8,Fc1ccccc1
-3.92,COC(=O)c1ccccc1
-10.17,N#Cc1ccc(O)cc1
-5.85,Oc1ccc(Br)cc1
-9.73,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O
-4.12,O=[N+]([O-])c1ccccc1
-7.37,Nc1ccccc1[N+](=O)[O-]
-9.62,O=[N+]([O-])c1cccc(O)c1
-6.01,Cc1ccc(O)c(C)c1
-5.26,Cc1cccc(C)c1O
-5.49,Nc1ccccc1
-0.3,CC(C)c1ccccc1
1.07,FC(F)(F)c1ccccc1C(F)(F)F
-1.01,Clc1ccc(Cl)cc1
-2.55,Sc1ccccc1
-3.15,c1cc2c3c(cccc3c1)CC2
-8.68,COc1c(O)c(OC)c(Cl)c(C=O)c1Cl
-18.72,O=c1[nH]cc(I)c(=O)[nH]1
-7.29,Oc1ccc(Cl)c(Cl)c1
-5.46,OC1CCCCC1
-3.45,Cc1cccc([N+](=O)[O-])c1
-0.79,CCc1ccccc1
-18.17,O=c1[nH]cc(Br)c(=O)[nH]1
-1.24,C=Cc1ccccc1
-4.78,c1cc[nH]c1
-7.19,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
-11.95,CN(C)C(=O)c1ccc([N+](=O)[O-])cc1
-7.98,CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-]
-0.9,Cc1ccccc1C
-3.58,Cc1ccccc1[N+](=O)[O-]
-1.92,CN(CC(F)(F)F)c1ccccc1
-9.13,CN(C)C(=O)Nc1ccccc1
-15.46,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1
-6.44,COc1c(Cl)cc(Cl)c(OC)c1O
-11.0,NC(=O)c1ccccc1
-4.68,O=Cc1ccccc1O
0.16,CC(C)Cc1ccccc1
-0.4,CCCCc1ccccc1
-11.01,COc1ccc(C(=O)N(C)C)cc1
-1.46,Brc1ccccc1
-0.98,Clc1cccc(Cl)c1
-5.21,CCCc1ccc(O)cc1
-9.65,N#Cc1cccc(O)c1
-3.64,CCOC(=O)c1ccccc1
-9.51,COC(=O)c1ccc(O)cc1
-4.52,c1cc2ccc3cccc4ccc(c1)c2c34
-7.78,COc1cc(C=O)c(Cl)c(OC)c1O
-2.45,CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
-6.23,CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
-17.74,O=c1[nH]cc(Cl)c(=O)[nH]1
-6.92,OCCCc1ccccc1
-4.69,CNc1ccccc1
-10.27,Cc1c[nH]cn1
-6.12,COc1ccccc1N
-1.12,Clc1ccccc1
-4.02,O=Cc1ccccc1
-0.8,Cc1ccc(C)cc1
-9.63,c1c[nH]cn1
-5.23,CCOC(OCC)Oc1ccccc1
-1.29,FC(F)[C@@H](F)Oc1ccccc1
-4.91,Nc1ccccc1Cl
-9.94,CC(=O)Oc1ccccc1C(=O)O
-0.45,CC[C@H](C)c1ccccc1
-3.25,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
-2.3,Brc1ccc(Br)cc1
-5.66,CCc1ccccc1O
-8.83,O=Cc1ccc(O)cc1
-1.12,Clc1ccc(Cl)c(Cl)c1
3.43,FC1(F)C(F)(F)C(F)(F)C1(F)F
-1.34,Clc1cc(Cl)c(Cl)cc1Cl
-7.78,CCC(=O)Nc1ccc(Cl)c(Cl)c1
-8.72,CCCCOC(=O)c1ccc(O)cc1
-0.25,FC(F)(F)c1ccccc1
-1.62,Clc1cc(Cl)c(Cl)c(Cl)c1
-0.23,CCCCCc1ccccc1
-4.27,Cc1ccc(C=O)cc1
-6.16,Cc1cccc(O)c1C
-1.93,ClCc1ccccc1
-4.63,Cc1ccccn1
-7.4,C1CNCCN1
-5.04,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
-2.44,Cc1cccc2ccccc12
-20.52,O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O
-25.47,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
-2.55,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl
-4.86,Cc1ccnc(C)c1
-3.88,CN1CCCCC1
-10.21,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
-6.75,N#Cc1cccnc1
-3.95,c1ccc2cc3ccccc3cc2c1
-4.84,Cc1cncc(C)c1
-9.45,CNC(=O)Oc1cccc2ccccc12
-2.82,Cc1ccc(C)c2ccccc12
-4.01,Clc1cccnc1
-4.93,Cc1ccncc1
-4.39,Clc1ccccn1
-8.26,CC(=O)c1cccnc1
-4.33,CCc1ccccn1
-5.11,C1CCNCC1
-7.1,O=Cc1cccnc1
-3.12,C1CCOCC1
-7.47,Nc1ccc2ccccc2c1
-4.77,Cc1cccnc1
-2.4,c1ccc2ccccc2c1
-5.06,C1COCCO1
-4.82,Cc1cccnc1C
-4.59,Cc1cccc(C)n1
-2.78,Cc1cc2ccccc2cc1C
-7.77,CN1CCNCC1
-4.59,CCc1cccnc1
-5.74,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O
-8.11,Oc1ccc2ccccc2c1
-0.99,C1=CC=CCC=C1
-7.58,CN1CCN(C)CC1
-7.63,c1ccc(Cn2ccnc2)cc1
-2.47,Cc1cc(C)c2ccccc2c1
-4.69,c1ccncc1
-18.06,O=c1[nH]c(=O)[nH]c(=O)[nH]1
-4.72,Cc1ccc(C)nc1
-2.63,Cc1ccc2cc(C)ccc2c1
-7.28,Nc1cccc2ccccc12
-5.22,Cc1ccncc1C
-5.72,c1ccc2ncccc2c1
-9.61,O=C1NC(=O)c2ccccc21
-2.4,CCc1cccc2ccccc12
-7.0,O=Cc1ccncc1
-4.73,CCc1ccncc1
-7.62,CC(=O)c1ccncc1
-7.67,Oc1cccc2ccccc12
-6.02,N#Cc1ccncc1
