mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,molecules
2.9712,77.91,-0.2453,0.0522,0.2975,1355.2097,0.155742,-422.971646,-422.961817,-422.960873,-423.006478,36.29,C#CCC1OCC1(C)O
0.8284,67.71,-0.2222,0.0383,0.2605,736.2481,0.14447,-363.711312,-363.70542,-363.704476,-363.740836,25.038,C1OC23CCN(C2)C13
3.7078,69.21,-0.2746,0.0081,0.2827,1626.8937,0.144754,-476.213322,-476.20269,-476.201746,-476.249659,36.979,N#CC(O)C(O)CCO
2.3521,72.76,-0.2441,-0.0305,0.2135,1258.3236,0.155044,-460.158546,-460.148702,-460.147758,-460.192875,36.836,CC1(O)CC1(O)CC=O
3.3277,64.13,-0.2421,0.007,0.2491,1043.021,0.119256,-395.973293,-395.96524,-395.964295,-396.007053,27.439,Cn1cc(CO)nn1
3.9538,58.89,-0.2763,0.0036,0.2799,1314.2111,0.128382,-458.019838,-458.01096,-458.010016,-458.054052,30.795,O=COCC(O)CO
5.2707,76.72,-0.2551,0.0153,0.2703,1160.3154,0.148069,-398.090566,-398.081913,-398.080969,-398.124062,32.304,CC1NC(C#N)C12CN2
1.6567,76.62,-0.2619,0.024,0.2859,1278.1569,0.169802,-440.291918,-440.282408,-440.281463,-440.326496,35.399,CCC1(CO)CC(=N)O1
1.9286,83.8,-0.2268,0.0807,0.3075,1767.025,0.193668,-404.293702,-404.284212,-404.283268,-404.329106,34.819,CCCOC1CC2NC21
2.6505,71.57,-0.2547,-0.0335,0.2212,987.7568,0.13552,-421.764236,-421.756701,-421.755757,-421.797138,28.657,O=CC12COC1C1CC12
1.6939,62,-0.2346,0.0934,0.328,539.2287,0.141472,-288.639421,-288.634665,-288.633721,-288.667528,20.416,C1C2CC3C1N3C2
1.8855,70.76,-0.234,0.0781,0.3121,767.6264,0.154992,-347.762228,-347.755627,-347.754683,-347.792484,26.783,CC12C3CC1OC2C3
2.6354,77.99,-0.2442,-0.0518,0.1924,1204.8446,0.134766,-421.850522,-421.842166,-421.841222,-421.883859,30.995,CC1=CC2(CO2)CC1=O
2.1731,77.72,-0.2462,0.0243,0.2705,1038.5175,0.173355,-403.15272,-403.144825,-403.143881,-403.185589,30.713,CC1CC2OC=NCC12
3.1664,66.18,-0.2487,-0.0544,0.1943,942.9677,0.112649,-457.770165,-457.762874,-457.761929,-457.802339,27.42,O=C1COC2CC1C2=O
3.0971,79.41,-0.2547,-0.0049,0.2498,1174.5524,0.134526,-380.823283,-380.814215,-380.813271,-380.856937,33.778,C#CC1(C#N)CC(C)N1
1.4711,64.83,-0.2486,-0.0944,0.1542,860.1542,0.106972,-382.596084,-382.588853,-382.587909,-382.627895,26.177,CC1C(=O)C=CC1=O
3.6846,77.24,-0.2706,0.0149,0.2855,1082.783,0.146691,-401.934833,-401.926063,-401.925118,-401.967691,33.418,CC12CCC1C2(O)C#N
3.6807,78.24,-0.2381,0.0169,0.255,1057.3262,0.173131,-403.184221,-403.176195,-403.17525,-403.216952,31.175,CC1CC2CC(=O)N2C1
2.8242,85.78,-0.2456,-0.025,0.2205,1316.1824,0.204079,-388.297519,-388.287298,-388.286354,-388.333275,37.394,CCC1C(C)CC1C=O
0.8677,70.99,-0.2669,0.0772,0.3442,1388.6116,0.157638,-460.110019,-460.100879,-460.099935,-460.144844,33.395,OCC1(CC2CO2)CO1
1.6763,73.82,-0.2385,0.0857,0.3242,864.9729,0.177759,-349.001002,-348.99337,-348.992426,-349.032234,30.474,CC1C2CCC1(C)O2
2.5893,75.78,-0.1829,-0.0069,0.1759,1069.2094,0.108525,-378.758804,-378.751664,-378.75072,-378.790302,26.529,NC=Nc1ccco1
2.6759,79.41,-0.234,0.0804,0.3144,1362.695,0.171158,-403.032875,-403.024883,-403.023939,-403.066394,30.787,C1C2OC1C2CN1CC1
5.6757,79.1,-0.2132,0.007,0.2202,1163.2451,0.112445,-412.957021,-412.948292,-412.947348,-412.990296,31.757,C#Cc1nnn(C)c1N
1.5359,77.55,-0.2288,0.0732,0.302,1094.4647,0.172395,-403.085142,-403.077447,-403.076503,-403.117309,30.977,CCC12NC1C1CC2O1
3.2123,73.49,-0.227,0.0806,0.3075,913.8647,0.151143,-401.880125,-401.874193,-401.873249,-401.910052,25.857,C1CN2C3C1C2C1OC13
1.9563,81.25,-0.1909,-0.001,0.1899,1171.9869,0.13832,-418.075154,-418.067061,-418.066116,-418.107682,31,CNc1cccnc1O
3.6767,69.85,-0.2507,-0.0252,0.2255,1317.7673,0.123719,-437.890398,-437.882526,-437.881581,-437.9242,28.622,O=CCC1=NC2CC2O1
1.5333,72.29,-0.2546,0.0213,0.276,1281.7724,0.170165,-477.44783,-477.437793,-477.436849,-477.483026,36.592,CC(O)C(CO)NC=O
1.1541,76.03,-0.2084,0.0173,0.2257,1139.6731,0.136128,-421.836872,-421.829019,-421.828075,-421.869451,30.575,OC1(c2ccco2)CC1
2.3343,73.17,-0.2286,-0.0214,0.2072,1027.7429,0.122714,-400.643086,-400.635472,-400.634528,-400.675769,28.526,CC(=O)C12C3C4C1N4C32
2.6986,74.84,-0.2394,0.0718,0.3113,1158.7611,0.158238,-422.949699,-422.94132,-422.940376,-422.983294,31.671,CC1(C2CO2)C2COC21
0.3405,92.98,-0.2415,0.084,0.3256,1445.9101,0.228117,-352.342541,-352.3325,-352.331555,-352.377039,38.916,CC1CC2(C(C)C)CC12
4.9477,78.1,-0.2467,-0.0041,0.2426,1074.9731,0.137124,-380.869953,-380.86199,-380.861045,-380.902475,30.251,CC1=CC2NC2C1C#N
3.8447,52.63,-0.298,-0.0585,0.2395,818.0904,0.073674,-426.91621,-426.90969,-426.908746,-426.947254,23.02,NC(=O)n1cnnn1
4.5386,70.79,-0.2569,0.0153,0.2721,948.1798,0.138518,-421.839039,-421.832407,-421.831462,-421.870109,26.931,O=C1CC2CC3C(O1)C23
1.4996,76.81,-0.2457,-0.0206,0.2251,1117.1126,0.137914,-418.052293,-418.044251,-418.043307,-418.085594,30.151,N=C1CC=CCC(=O)N1
0.7027,70.2,-0.2292,0.0663,0.2955,1032.0515,0.157849,-460.133394,-460.124159,-460.123215,-460.167355,34.447,CC1C2OCC(O)C12O
2.2764,77.61,-0.3005,-0.0575,0.2429,1818.7426,0.08782,-415.596016,-415.586851,-415.585907,-415.631053,31.166,N#CC#CCC(O)C#N
2.0427,80.53,-0.2046,-0.0383,0.1663,1012.488,0.124747,-400.74999,-400.74272,-400.741776,-400.781945,28.338,C1=C2COC34CN(C13)C24
1.1976,86.67,-0.243,0.0162,0.2593,1164.6678,0.204274,-388.312086,-388.302122,-388.301177,-388.345849,38.86,CC1C=CC(C)(O)C1C
5.1751,76.63,-0.2537,0.0336,0.2873,1321.7313,0.158024,-419.198959,-419.189038,-419.188093,-419.233546,36.839,CC(O)C1CC1(N)C#N
5.2035,79.93,-0.2659,0.0237,0.2896,1103.7574,0.160775,-382.088211,-382.079867,-382.078923,-382.120783,32.293,CC12CCCC1(C#N)N2
3.1732,54.07,-0.2454,0.074,0.3194,597.8396,0.101456,-344.343476,-344.338074,-344.33713,-344.372419,21.129,C1C2OC1C21CO1
3.5361,75.56,-0.2552,0.0042,0.2594,1148.9785,0.157817,-419.20671,-419.197035,-419.196091,-419.240924,35.817,CC1(C)OC(C#N)C1N
1.1813,78.76,-0.2458,-0.0218,0.224,1495.8547,0.154269,-422.997743,-422.986796,-422.985852,-423.035306,37.431,C#CC(COC)C(C)=O
3.063,70.13,-0.2321,-0.028,0.204,1011.8262,0.10262,-436.678887,-436.672063,-436.671119,-436.710218,25.89,Cc1coc2cnoc12
1.7107,79,-0.2402,0.0772,0.3174,1441.0585,0.18237,-424.173203,-424.164229,-424.163285,-424.208096,32.718,COCC1CC2OCC12
2.015,66.87,-0.206,0.0267,0.2327,976.389,0.116339,-453.949986,-453.943304,-453.94236,-453.980976,26.256,c1[nH]nc2c1OCCO2
1.3981,81.94,-0.2238,0.014,0.2378,937.1186,0.174196,-366.020806,-366.013881,-366.012937,-366.051399,29.84,CC12C=CC3C(C1)N3C2
3.3687,77.46,-0.2387,-0.0227,0.216,1106.1565,0.156934,-423.041752,-423.032397,-423.031452,-423.076222,34.221,COC1(C)C=CCC1=O
2.6314,65.72,-0.2703,-0.069,0.2013,1276.1642,0.101152,-469.994864,-469.986675,-469.985731,-470.028793,28.097,CNC(=O)c1cnon1
1.0369,76.17,-0.2318,0.0638,0.2955,1187.8417,0.158246,-422.970228,-422.962143,-422.961199,-423.002859,31.408,CC1OC2C1OC21CC1
5.3524,80.9,-0.2117,0.003,0.2147,1224.4107,0.160213,-419.271355,-419.261982,-419.261038,-419.305819,34.702,CCC1=C(N)CNC1=O
4.7745,77.38,-0.246,0.0205,0.2666,1397.5551,0.170039,-440.305648,-440.295925,-440.294981,-440.341119,34.578,CC1CCN1C(=O)CO
4.2963,68.35,-0.2342,0.0585,0.2927,1020.99,0.156589,-381.181698,-381.17378,-381.172836,-381.213898,29.615,CC1CNC(=O)NC1
5.4372,64.57,-0.2462,0.0231,0.2693,971.5596,0.142047,-401.028378,-401.02004,-401.019096,-401.061039,31.024,CC1CC1([NH3+])C(=O)[O-]
5.3209,72.33,-0.2492,0.061,0.3101,1130.4119,0.149875,-439.121016,-439.113107,-439.112163,-439.153752,30.218,O=C1NCC2(CC2)CO1
4.7014,67.58,-0.2469,-0.0642,0.1827,1077.5498,0.088828,-494.022832,-494.015181,-494.014236,-494.056076,27.078,Cn1ncc(=O)c(F)n1
1.3948,61.14,-0.2723,-0.0054,0.2669,836.4222,0.093542,-398.546925,-398.539182,-398.538238,-398.57896,28.125,C#CC1(O)COC1=N
3.6562,68.53,-0.275,0.0081,0.2831,995.3129,0.125465,-437.880428,-437.87301,-437.872066,-437.912497,27.994,N#CC12COC1CCO2
1.3809,75.88,-0.2484,0.0819,0.3303,1613.3507,0.197517,-387.331523,-387.320848,-387.319903,-387.367909,36.941,COC(C)CCCO
2.9176,63.86,-0.3065,-0.0525,0.2539,982.0997,0.077859,-431.680217,-431.672626,-431.671682,-431.712946,26.665,N#CC1(C#N)CN=CO1
0.1486,86.71,-0.2556,0.0936,0.3493,972.1826,0.185966,-349.886523,-349.879963,-349.879019,-349.916953,28.84,C1CC23C1CC1C2CC13
2.1676,68,-0.25,0.0717,0.3216,1155.0927,0.175873,-423.26334,-423.253808,-423.252863,-423.29787,34.124,CCOC(CO)CO
2.2695,81.25,-0.2472,0.0227,0.2698,1368.4603,0.146276,-401.944464,-401.93497,-401.934025,-401.980641,33.331,CC#CC1(C)CN=CO1
3.0743,73.82,-0.2227,-0.025,0.1977,1322.1564,0.145946,-439.036685,-439.027772,-439.026828,-439.071254,32.055,CCOC1C(=O)C2NC21
2.3782,76.45,-0.2218,0.0029,0.2247,1279.74,0.137424,-418.023683,-418.015573,-418.014629,-418.057034,29.591,Cc1nc(C2CN2)co1
5.1237,74.13,-0.2717,0.0208,0.2925,1006.0775,0.125322,-400.712661,-400.705208,-400.704264,-400.744488,28.875,N#CC12C(O)C3CC1C32
3.5028,87.97,-0.2393,-0.0154,0.2239,1341.9125,0.202999,-388.301477,-388.290708,-388.289764,-388.337048,39.382,CCC1(C)C(C)C1C=O
1.248,78.1,-0.2344,0.0215,0.2559,1471.2403,0.148293,-439.075774,-439.067535,-439.066591,-439.109593,30.043,C1OCC(=NC2CC2)O1
2.5464,72.18,-0.2382,0.0091,0.2473,974.9859,0.139337,-417.947479,-417.941001,-417.940056,-417.978189,26.988,O=C1NC23CN(CC12)C3
5.0915,76.49,-0.2494,0.0168,0.2663,1065.3809,0.147968,-401.95654,-401.948286,-401.947341,-401.989075,31.625,CC12CCOC1(C#N)C2
2.2332,78.7,-0.2106,0.0327,0.2434,1235.2267,0.159285,-419.247694,-419.237981,-419.237037,-419.28292,34.939,CCc1c(O)n[nH]c1C
5.6428,64.87,-0.2943,-0.0198,0.2745,990.3412,0.101897,-436.718765,-436.711597,-436.710652,-436.750843,26.794,N#CC1C(=O)OC2CC21
2.8545,74.14,-0.2497,-0.1137,0.136,1192.4361,0.122485,-434.072128,-434.062369,-434.061425,-434.107377,33.433,CN(C)C(=N)C(=O)C#N
4.199,79.85,-0.2012,-0.0295,0.1717,1039.5728,0.124802,-396.819581,-396.81202,-396.811076,-396.851949,28.818,NC12C3C4=NCC1N4C32
4.2315,80.69,-0.2292,0.0268,0.256,1220.4778,0.173487,-399.330603,-399.322048,-399.321104,-399.363572,32.812,CN1CCNCC1C#N
1.1141,93.4,-0.2411,0.062,0.3031,2933.9358,0.202511,-388.263809,-388.251802,-388.250857,-388.303851,39.84,CC#CCCCCOC
3.4624,73.22,-0.1947,0.0317,0.2265,1293.1359,0.126547,-434.072389,-434.064406,-434.063462,-434.105454,29.692,Oc1cnc(C2CN2)[nH]1
2.5636,78.81,-0.2497,-0.0237,0.226,1388.9062,0.180987,-424.220014,-424.210113,-424.209168,-424.255365,35.83,O=CC1(CCO)CCC1
1.0086,74.66,-0.1651,0.0389,0.2039,1019.7861,0.114751,-416.844242,-416.836228,-416.835284,-416.877296,29.943,Oc1c[nH]c2cc[nH]c12
0.624,66.83,-0.2714,-0.1098,0.1616,1415.8019,0.131616,-496.119796,-496.109566,-496.108622,-496.155951,35.501,CC(O)C(=O)C(=O)CO
1.6588,76.19,-0.1822,0.0485,0.2307,1192.9397,0.147808,-435.307004,-435.297273,-435.296328,-435.341734,34.733,Cc1nc(N)c(O)n1C
4.4976,81.09,-0.2513,-0.0076,0.2437,1112.5438,0.159892,-382.091553,-382.082523,-382.081579,-382.124962,34.217,CC1CC=CC1(N)C#N
2.5616,78.05,-0.2206,0.0014,0.222,1320.6633,0.137508,-418.023572,-418.01549,-418.014546,-418.056875,29.453,Cc1cnc(C2CN2)o1
1.8765,69.94,-0.237,0.076,0.313,1009.2451,0.149225,-439.028959,-439.021608,-439.020663,-439.060698,29.279,OCC12CN3C(CO1)C32
0.1174,64.07,-0.2707,0.0954,0.3661,856.0996,0.166165,-235.693825,-235.686573,-235.685628,-235.724945,26.225,CCCC1CC1
3.5539,68.93,-0.2319,-0.0202,0.2117,1058.8158,0.135378,-458.956365,-458.948153,-458.947209,-458.989391,30.936,O=C1COCC2(O)CC12
0.9494,76.71,-0.2553,-0.0521,0.2032,1263.6504,0.105071,-429.114851,-429.107687,-429.106743,-429.146969,25.955,N=CNc1ncncn1
1.3424,76.28,-0.2338,0.0975,0.3314,877.6382,0.162139,-385.875164,-385.868716,-385.867772,-385.905523,27.827,CC12CC3C4C(OC31)C42
3.9899,83.09,-0.2444,-0.0179,0.2265,1696.4345,0.202084,-425.435048,-425.423482,-425.422537,-425.47306,40.354,CC(C=O)C(C)CCO
1.7079,82.44,-0.246,0.0746,0.3207,1299.2611,0.192743,-404.303888,-404.293838,-404.292894,-404.339397,36.787,CCC1(C2CO2)NC1C
4.6876,71.95,-0.1942,0.0144,0.2087,1051.0243,0.128689,-430.231766,-430.224356,-430.223412,-430.263729,27.957,Nc1nnn2c1NCC2
3.1784,69.47,-0.2621,-0.0028,0.2593,1154.1771,0.133908,-458.965492,-458.95658,-458.955635,-458.999215,32.475,CC1CC12OC(=O)C2O
1.6872,83.25,-0.248,0.0649,0.3129,1127.0184,0.180986,-387.025974,-387.016989,-387.016045,-387.058944,35.122,CC12CC3(C)C1C(O)C23
3.7915,73.66,-0.2553,0.0046,0.2599,1802.889,0.146635,-439.052938,-439.043596,-439.042652,-439.089147,31.57,N#CCOCC1COC1
1.7096,65.61,-0.279,-0.0704,0.2086,1045.9695,0.098605,-473.819681,-473.811109,-473.810165,-473.852638,31.383,N#CC1(C=O)C(O)C1O
4.5822,81.16,-0.2627,0.0233,0.286,2203.5022,0.18124,-420.40142,-420.390439,-420.389495,-420.438785,37.761,COCCCC(N)C#N
0.359,81.26,-0.2464,0.0634,0.3098,1313.6779,0.202743,-425.413059,-425.402173,-425.401229,-425.44848,40.831,CC(O)C(O)C1(C)CC1
2.5599,84.53,-0.2217,-0.0381,0.1836,1116.7353,0.13515,-384.673231,-384.66531,-384.664366,-384.706041,30.149,C1=C2C3C4CC3(OC1)C24
2.3447,78.06,-0.2425,-0.0183,0.2242,1380.198,0.157419,-423.06029,-423.050962,-423.050018,-423.095095,34.314,CC(O)C1=CCC(=O)C1
4.8647,77.69,-0.2316,0.0256,0.2572,1045.2896,0.16138,-382.068762,-382.060639,-382.059695,-382.101209,31.744,CC1C(C#N)NC2CC21
4.5632,76.44,-0.2404,0.0321,0.2724,1278.3944,0.175498,-345.197181,-345.187326,-345.186382,-345.232469,35.256,CC(C)NC(C)C#N
2.2004,68.21,-0.2611,0.0788,0.3399,1157.0439,0.136006,-458.913385,-458.905832,-458.904888,-458.946121,28.223,C1OC1C1OCC2OC21
2.2402,77.72,-0.2514,0.08,0.3314,1074.5331,0.182297,-424.222654,-424.214014,-424.21307,-424.25532,34.115,CC1(C)OCCC2OC21
1.4591,80.78,-0.25,0.0236,0.2736,1104.1497,0.133047,-384.605791,-384.596632,-384.595688,-384.639253,35.059,C#CC1(C#C)CCC1O
3.7261,67.53,-0.2593,-0.0407,0.2186,1053.519,0.109672,-457.719497,-457.710797,-457.709853,-457.753888,30.631,C#CC1(C=O)OCCO1
2.4081,77.17,-0.2503,0.0193,0.2696,1088.1358,0.147945,-401.904297,-401.896442,-401.895498,-401.937054,30.49,N=C1OC2CC12C1CC1
2.4483,61.76,-0.2668,-0.0367,0.23,883.5096,0.096399,-402.816226,-402.809601,-402.808657,-402.847557,23.936,Cc1cc(F)ncn1
1.4284,70.5,-0.2084,0.021,0.2294,1156.5612,0.137206,-455.146973,-455.138438,-455.137494,-455.180519,31.382,COCc1n[nH]cc1O
5.3243,68.38,-0.2851,-0.02,0.2651,1256.4187,0.097691,-436.679385,-436.669742,-436.668798,-436.715298,32.374,C#CC(C#N)C(=O)OC
0.3784,80.04,-0.2636,0.0305,0.294,1310.8929,0.178001,-424.185144,-424.173931,-424.172987,-424.22064,41.357,C#CC(O)C(C)(C)CO
0.5663,88.79,-0.2376,0.026,0.2636,1143.4923,0.182902,-349.944155,-349.935249,-349.934304,-349.977268,34.984,C#CC1CCC=CC1C
2.4453,76.13,-0.2547,0.0122,0.2669,1457.3466,0.158388,-419.267595,-419.257282,-419.256338,-419.304517,36.179,CCC(C#N)CC(N)=O
2.764,65.11,-0.261,-0.0556,0.2054,1255.3874,0.101608,-470.029023,-470.020823,-470.019879,-470.063289,27.865,CNC(=O)c1ncon1
2.2966,75.54,-0.2387,-0.0231,0.2156,1669.7532,0.136786,-418.036597,-418.027981,-418.027037,-418.072029,30.074,O=CCCc1cn[nH]c1
1.3489,78.06,-0.2578,-0.0098,0.248,1725.2274,0.14463,-439.002682,-438.992517,-438.991573,-439.038525,36.56,C#CCCC(CO)=NO
1.9303,83.71,-0.2614,0.02,0.2814,1922.0543,0.20284,-425.481236,-425.469785,-425.468841,-425.519779,39.612,CCCOC(=O)C(C)C
2.714,78.14,-0.2343,0.0698,0.304,1104.9938,0.17128,-403.077559,-403.069422,-403.068478,-403.110206,31.566,CC1C2CC3(COC3)N12
2.0195,75.17,-0.2397,0.0001,0.2399,1168.9111,0.150466,-435.322886,-435.314509,-435.313565,-435.356121,31.445,CC1CN=CNC(=O)N1
3.4526,77.7,-0.2386,-0.0245,0.2141,1062.9918,0.126003,-400.758858,-400.751725,-400.750781,-400.790328,27.682,CC1=CCc2conc21
2.9622,81.8,-0.239,-0.0177,0.2213,1175.8653,0.183269,-387.100208,-387.091583,-387.090639,-387.133698,33.207,CC1CC2CC2C1C=O
1.2624,73.82,-0.2556,0.0711,0.3267,859.1709,0.179095,-348.995612,-348.988268,-348.987324,-349.026613,29.776,CC1C2CC(C2)C1O
2.5686,86.6,-0.2412,-0.0072,0.234,1739.3162,0.202681,-388.310318,-388.299577,-388.298633,-388.347415,38.868,CC(=O)CCC1(C)CC1
4.911,63.44,-0.2574,-0.0131,0.2443,872.8643,0.114812,-457.764958,-457.758807,-457.757863,-457.795544,24.666,O=C1OC2CC3OC1C23
2.7936,73.14,-0.2365,-0.0109,0.2256,946.8624,0.153245,-347.803218,-347.795342,-347.794398,-347.835608,29.542,CC(=O)C12CCC1C2
1.7656,75.89,-0.249,-0.0042,0.2448,1129.0041,0.144762,-439.001539,-438.992492,-438.991547,-439.034812,34.182,CC1(C)C(=NO)C2OC21
1.6535,82.77,-0.2436,0.0005,0.2441,1224.7648,0.182228,-387.082291,-387.073529,-387.072584,-387.1159,33.853,CC(C)C1C=CC2OC21
2.4091,74.75,-0.2472,0.0646,0.3118,1889.4268,0.169009,-477.452335,-477.441411,-477.440467,-477.490625,36.39,COCCNC(=O)OC
2.4986,67.06,-0.2469,-0.0231,0.2238,1379.8833,0.09985,-473.875749,-473.867558,-473.866614,-473.909716,28.189,Cc1ncc(OC=O)o1
1.9726,78.88,-0.2454,-0.0148,0.2306,1495.6523,0.18232,-424.255412,-424.245735,-424.244791,-424.292776,34.063,CCC(=O)C1CCOC1
2.1055,77.62,-0.2184,0.0731,0.2915,1012.118,0.171003,-403.110187,-403.10198,-403.101036,-403.142172,33.383,CC12CN1CC1CC12O
3.1171,56.03,-0.2585,-0.0308,0.2277,1149.0677,0.096235,-568.192541,-568.184273,-568.183328,-568.226577,29.49,O=CC1CC1C(F)(F)F
1.261,75.82,-0.2494,0.0695,0.3189,1068.8923,0.157785,-422.951764,-422.943341,-422.942397,-422.983954,33.668,CC1C2C3(O)CC2(O)C13
0.9851,78.92,-0.2463,0.0566,0.3029,1392.8627,0.182163,-424.195013,-424.185695,-424.184751,-424.229502,35.239,OC1CC(C2CC2)C1O
1.7198,80.14,-0.2644,0.0199,0.2844,1666.5957,0.18134,-424.2626,-424.252795,-424.251851,-424.298959,34.855,CCC(=O)OC1CCC1
1.4165,68.4,-0.2694,0.0059,0.2753,1228.5244,0.11411,-453.964651,-453.956778,-453.955834,-453.997724,28.369,N#CC1COC(=N)OC1
2.7001,76.78,-0.2281,0.0199,0.248,1084.9658,0.1594,-419.163916,-419.155241,-419.154297,-419.197231,33.289,CN1C2CC1(C(N)=O)C2
1.3874,81.42,-0.2321,0.0924,0.3245,1036.7321,0.183078,-387.077203,-387.069199,-387.068255,-387.109059,32.701,CC1OC2(C)CC3C1C32
3.908,74.45,-0.2387,0.0371,0.2757,1005.3551,0.150775,-401.966585,-401.959637,-401.958693,-401.998026,28.37,O=C1CC2C3CC3C2N1
1.322,73.7,-0.2703,-0.0231,0.2472,1995.2198,0.14436,-476.241949,-476.231628,-476.230684,-476.278961,34.306,CCOCC(=O)OC=N
6.4267,73.06,-0.2516,-0.0295,0.2221,1938.2133,0.144308,-476.256006,-476.245557,-476.244613,-476.293954,34.519,CCOCC(=O)NC=O
0.7319,87.72,-0.2488,-0.0249,0.2239,2038.0413,0.132225,-421.757964,-421.747424,-421.746479,-421.794316,36.971,C#CC#CC(O)CCO
2.8116,70.51,-0.23,0.0599,0.2898,819.0463,0.126329,-400.587685,-400.582123,-400.581178,-400.617201,24.734,N1C2C3C4C5OC4(C12)C53
2.4518,74.3,-0.2379,-0.0093,0.2286,1020.3788,0.134976,-421.797969,-421.789931,-421.788987,-421.830306,31.267,O=C1C2CC2(O)C12CC2
5.056,65.59,-0.2868,0.0181,0.3049,1111.2231,0.139434,-400.998676,-400.989291,-400.988346,-401.032626,33.061,COCC(C)(O)C#N
1.7563,66.82,-0.2032,0.004,0.2072,827.0945,0.11425,-416.698735,-416.692635,-416.691691,-416.72872,25.728,C1=NC23CC2(O1)C1NC13
5.8094,76.59,-0.2268,-0.0461,0.1807,1246.2656,0.123219,-437.940026,-437.931375,-437.930431,-437.973708,31.761,NC1=C(C=O)CC(=O)C1
3.8203,71.75,-0.2411,0.0114,0.2525,1080.7008,0.149349,-439.109372,-439.10162,-439.100676,-439.141756,30.036,O=C1CC2C(O)CCN12
2.6176,76.38,-0.2182,0.0221,0.2403,1168.3924,0.162031,-419.188188,-419.180408,-419.179463,-419.220339,30.398,CC1CN=C2OCC2N1
3.671,82.87,-0.2437,0.0327,0.2763,1290.1306,0.193072,-404.375455,-404.365509,-404.364565,-404.41011,37.212,CC1CCC1(C)NC=O
4.0221,71.63,-0.2694,0.0146,0.284,1520.6217,0.13413,-455.201623,-455.191362,-455.190418,-455.23859,34.477,CNC(=O)OC(C)C#N
1.8465,83.58,-0.2251,0.0173,0.2424,1112.6695,0.160355,-385.901294,-385.893422,-385.892478,-385.933584,30.463,CC1=C2CC=CC2OC1
5.1166,75.23,-0.2631,0.0207,0.2838,1020.7322,0.150549,-401.976352,-401.969148,-401.968204,-402.007841,28.831,N#CC12CCC(CO1)C2
